dt,open,high,low,close,volume
"2021-11-30 08:17:00",58179.9804687500,58200.0000000000,58121.9804687500,58178.0585937500,41.3501701355
"2021-11-30 08:16:00",58174.0312500000,58190.0000000000,58134.9804687500,58178.4101562500,46.3614387512
"2021-11-30 08:15:00",58159.0507812500,58194.2500000000,58153.6015625000,58174.0390625000,29.8622303009
"2021-11-30 08:14:00",58100.0000000000,58180.0000000000,58041.0000000000,58156.1406250000,34.0651016235
"2021-11-30 08:13:00",58153.3203125000,58199.9687500000,58082.7617187500,58099.9882812500,34.7893218994
"2021-11-30 08:12:00",58117.1093750000,58199.9882812500,58042.3515625000,58154.5195312500,62.1734580994
"2021-11-30 08:11:00",58007.7812500000,58117.1210937500,57995.4101562500,58117.1093750000,44.7532806396
"2021-11-30 08:10:00",58083.8710937500,58083.8789062500,57954.8281250000,58007.7695312500,51.3843803406
"2021-11-30 08:09:00",58150.6015625000,58196.1601562500,58012.9687500000,58083.8710937500,87.9770431519
"2021-11-30 08:08:00",58150.6015625000,58163.5117187500,58141.0117187500,58163.5117187500,6.3487701416
"2021-11-30 08:07:00",57654.7617187500,58065.0000000000,57650.1015625000,58065.0000000000,108.7471923828
"2021-11-30 08:06:00",57730.1914062500,57750.0000000000,57613.7890625000,57654.7617187500,75.2015609741
"2021-11-30 08:05:00",57753.9804687500,57788.1992187500,57730.1914062500,57730.1914062500,17.8565902710
"2021-11-30 08:04:00",57736.3007812500,57782.0000000000,57736.2890625000,57753.9804687500,31.9913692474
"2021-11-30 08:03:00",57829.9492187500,57829.9609375000,57727.3085937500,57736.2890625000,36.6376991272
"2021-11-30 08:02:00",57882.8906250000,57900.0000000000,57829.9492187500,57829.9492187500,22.9139404297
"2021-11-30 08:01:00",57819.2187500000,57893.1992187500,57817.3281250000,57864.2890625000,22.8502998352
"2021-11-30 08:00:00",57819.2187500000,57819.2304687500,57819.2187500000,57819.2187500000,0.0252100006
"2021-11-30 07:59:00",57859.9882812500,57885.6484375000,57835.7304687500,57844.1796875000,31.1028804779
"2021-11-30 07:58:00",57859.9882812500,57882.2890625000,57859.9882812500,57882.2890625000,1.7716900110
"2021-11-30 07:57:00",57855.6210937500,57855.6484375000,57855.6210937500,57855.6484375000,0.1017000005
"2021-11-30 07:56:00",57912.9804687500,57912.9804687500,57912.9687500000,57912.9804687500,0.0261899997
"2021-11-30 07:55:00",57917.6289062500,57917.6289062500,57917.6210937500,57917.6210937500,0.0230000000
"2021-11-30 07:54:00",58002.1406250000,58002.1484375000,58002.1406250000,58002.1484375000,0.0093000000
"2021-11-30 07:53:00",58020.1484375000,58020.1601562500,58020.1484375000,58020.1484375000,0.0229000002
"2021-11-30 07:52:00",58012.7695312500,58012.7812500000,58012.7695312500,58012.7812500000,0.0185899995
"2021-11-30 07:51:00",58007.1992187500,58007.2109375000,58007.1992187500,58007.2109375000,0.0120599996
"2021-11-30 07:50:00",58010.1601562500,58057.0312500000,58003.2890625000,58027.3007812500,19.6602592468
"2021-11-30 07:49:00",58040.0117187500,58045.3281250000,58000.4296875000,58010.1484375000,24.3574295044
"2021-11-30 07:48:00",58055.9882812500,58057.0507812500,58017.3593750000,58040.0117187500,21.7642803192
"2021-11-30 07:47:00",58119.9882812500,58120.0000000000,58034.3984375000,58056.0000000000,26.9050693512
"2021-11-30 07:46:00",58085.3515625000,58119.9882812500,58019.4882812500,58117.6914062500,22.5354804993
"2021-11-30 07:45:00",58124.0117187500,58160.3984375000,58076.7617187500,58085.3593750000,22.4980907440
"2021-11-30 07:44:00",58119.1015625000,58150.0000000000,58105.0000000000,58124.0000000000,19.5485191345
"2021-11-30 07:43:00",58090.0117187500,58167.9882812500,58060.6210937500,58126.9101562500,34.6230697632
"2021-11-30 07:42:00",58077.0195312500,58100.0000000000,58059.0117187500,58090.0117187500,16.0034408569
"2021-11-30 07:41:00",57976.5703125000,58091.0000000000,57976.5703125000,58077.0312500000,36.8345718384
"2021-11-30 07:40:00",58029.4492187500,58035.2890625000,57968.0117187500,57970.9218750000,26.0688800812
"2021-11-30 07:39:00",58031.6406250000,58045.3398437500,57991.6484375000,58029.4414062500,26.0914592743
"2021-11-30 07:38:00",57957.1484375000,58031.6406250000,57940.5585937500,58031.6406250000,24.1853008270
"2021-11-30 07:37:00",57921.4218750000,57999.9882812500,57921.4218750000,57952.9492187500,12.8423995972
"2021-11-30 07:36:00",58023.1914062500,58060.6210937500,57870.2500000000,57921.4218750000,26.6161403656
"2021-11-30 07:35:00",58077.2187500000,58084.0000000000,58001.9218750000,58023.1992187500,51.8510513306
"2021-11-30 07:34:00",58017.2617187500,58108.1718750000,58017.2617187500,58077.2187500000,56.6245994568
"2021-11-30 07:33:00",57976.0390625000,58029.8710937500,57970.1093750000,58017.2617187500,88.1578292847
"2021-11-30 07:32:00",57989.7695312500,57998.9882812500,57961.4101562500,57977.8906250000,25.0486106873
"2021-11-30 07:31:00",57932.6210937500,57991.3789062500,57856.4296875000,57985.3007812500,48.5041885376
"2021-11-30 07:30:00",57931.1718750000,57972.3398437500,57868.9296875000,57940.9882812500,29.1812400818
"2021-11-30 07:29:00",58029.2617187500,58034.8203125000,57924.0000000000,57931.1718750000,16.2945003510
"2021-11-30 07:28:00",58050.0390625000,58099.6718750000,58029.4609375000,58032.2812500000,28.5708999634
"2021-11-30 07:27:00",57991.4804687500,58062.6992187500,57963.6484375000,58050.0312500000,24.2569694519
"2021-11-30 07:26:00",58053.4101562500,58053.4218750000,57960.7382812500,57991.4804687500,21.0630607605
"2021-11-30 07:25:00",58016.5898437500,58094.8085937500,58000.0000000000,58058.4882812500,35.0430984497
"2021-11-30 07:24:00",58031.7617187500,58038.4804687500,57910.8281250000,58009.8203125000,67.2638015747
"2021-11-30 07:23:00",58114.6210937500,58135.3710937500,58028.1289062500,58031.7500000000,48.0122489929
"2021-11-30 07:22:00",58151.6796875000,58151.6914062500,58107.9492187500,58114.6093750000,28.4808807373
"2021-11-30 07:21:00",58180.3789062500,58200.0000000000,58143.9804687500,58151.6796875000,78.5225524902
"2021-11-30 07:20:00",58158.4882812500,58200.0000000000,58128.0117187500,58180.3710937500,47.2797698975
"2021-11-30 07:19:00",58193.3789062500,58220.0000000000,58129.5781250000,58158.4804687500,45.9529914856
"2021-11-30 07:18:00",58190.4296875000,58236.3007812500,58166.9882812500,58196.2812500000,56.0649414062
"2021-11-30 07:17:00",58164.6484375000,58230.0000000000,58126.3515625000,58190.1992187500,39.0110397339
"2021-11-30 07:16:00",58200.5585937500,58250.0000000000,58125.0117187500,58166.1289062500,48.2642211914
"2021-11-30 07:15:00",58080.0000000000,58265.2304687500,58079.9882812500,58200.5507812500,55.0115509033
"2021-11-30 07:14:00",58226.7812500000,58314.1992187500,58035.0898437500,58079.9882812500,109.4058990479
"2021-11-30 07:13:00",58247.5507812500,58296.1015625000,58127.4687500000,58234.5585937500,104.4758224487
"2021-11-30 07:12:00",58059.9492187500,58240.0000000000,58018.2382812500,58239.9882812500,117.9628219604
"2021-11-30 07:11:00",57906.5390625000,58066.0000000000,57881.7890625000,58059.9492187500,59.1315307617
"2021-11-30 07:10:00",57991.8710937500,57991.8710937500,57900.5000000000,57907.1484375000,53.2064018250
"2021-11-30 07:09:00",58027.0000000000,58027.0117187500,57948.2695312500,57995.9882812500,50.4574890137
"2021-11-30 07:08:00",57923.8710937500,58061.6093750000,57908.9296875000,58027.0000000000,54.4037284851
"2021-11-30 07:07:00",57975.9804687500,58002.1914062500,57903.1601562500,57923.8789062500,73.9403228760
"2021-11-30 07:06:00",57963.8007812500,58041.2695312500,57963.6210937500,57969.7695312500,174.7102813721
"2021-11-30 07:05:00",57900.3984375000,58000.0000000000,57879.4492187500,57963.8007812500,125.2903366089
"2021-11-30 07:04:00",57808.2617187500,57922.0390625000,57785.2109375000,57900.3984375000,110.9352035522
"2021-11-30 07:03:00",57698.9804687500,57797.0000000000,57660.0507812500,57797.0000000000,109.2934799194
"2021-11-30 07:02:00",57623.5000000000,57700.0000000000,57596.7382812500,57692.3593750000,66.0731735229
"2021-11-30 07:01:00",57602.4492187500,57662.8085937500,57602.4414062500,57626.7109375000,33.0416717529
"2021-11-30 07:00:00",57604.8710937500,57638.7695312500,57543.3984375000,57603.9687500000,56.8015594482
"2021-11-30 06:59:00",57639.4296875000,57688.9296875000,57600.2187500000,57604.8984375000,44.2389106750
"2021-11-30 06:58:00",57629.0390625000,57649.4687500000,57600.0000000000,57639.4218750000,56.6069908142
"2021-11-30 06:57:00",57635.8984375000,57665.5000000000,57601.0000000000,57629.0390625000,172.8397369385
"2021-11-30 06:56:00",57686.9492187500,57700.0000000000,57596.2695312500,57631.4492187500,89.2202072144
"2021-11-30 06:55:00",57505.8906250000,57693.8007812500,57501.8203125000,57675.7812500000,40.4216308594
